,Cities,Temp
0,Åland Islands,8.083894362342695
1,Albania,16.157950191570798
2,Andorra,11.20709724502815
3,Austria,11.901197318007767
4,Belarus,7.826553092501251
5,Belgium,11.891098795840179
6,Bosnia and Herzegovina,11.203514413428161
7,Bulgaria,11.274571246122976
8,Croatia,11.87058018609746
9,Czechia,11.182037949279248
10,Denmark,9.889064495530038
11,Estonia,7.530658182813346
12,Faroe Islands,7.532920543696449
13,Finland,7.086323207443879
14,France,12.710395000912355
15,Germany,11.212607188469258
16,Gibraltar,17.138806787082498
17,Greece,18.19687785075715
18,Guernsey,12.458634373289584
19,Hungary,12.399183543149087
20,Iceland,4.674518792191248
21,Ireland,10.872682904579436
22,Isle of Man,10.978509852216668
23,Italy,16.61384555738003
24,Jersey,12.58779647874481
25,Kosovo,11.928562306148512
26,Latvia,8.545418263090594
27,Liechtenstein,10.623421820835581
28,Lithuania,8.592898193760314
29,Luxembourg,10.504424375114022
30,Malta,19.595607553366204
31,Moldova,11.902754971720578
32,Montenegro,15.463172778690112
33,Netherlands,11.322498175515443
34,North Macedonia,14.455243112570603
35,Norway,7.609069968983762
36,Poland,10.35020753512133
37,Portugal,17.125287356321934
38,Principality of Monaco,16.269111476007968
39,Romania,13.045867542419257
40,Russia,6.520443349753734
41,San Marino,13.542357690202625
42,Serbia,13.54772167487674
43,Slovakia,12.008228425469872
44,Slovenia,11.408191935778062
45,Spain,15.227745849297687
46,Svalbard,-5.038451012588987
47,Sweden,8.265143222039779
48,Switzerland,9.98076309067693
49,Ukraine,9.723446907498708
50,United Kingdom,11.426742382776872
51,Vatican City,16.513845557380105
52,Anguilla,26.140227604451695
53,Antigua and Barbuda,26.55719987228624
54,Argentina,17.566290366721436
55,Aruba,26.773282703886355
56,Bahamas,25.62977558839651
57,Barbados,26.6225118591498
58,Belize,25.672249589490782
59,Bermuda,22.30126801678512
60,Bolivia,13.447493614303824
61,Brazil,26.038986954935172
62,British Virgin Islands,26.253651249771803
63,Canada,7.454406130268201
64,Cayman Islands,27.123437785075797
65,Chile,15.221287173873312
66,Colombia,14.150661375661409
67,Costa Rica,20.341554916985974
68,Cuba,26.292674694398535
69,Curacao,27.079273855136204
70,Dominica,25.17797847108196
71,Dominican Republic,25.11770206166759
72,Ecuador,12.405669585842073
73,El Salvador,23.854707170224465
74,Falkland Islands,7.224790184272925
75,French Guiana,25.894150246305312
76,Greenland,-3.0251642036125057
77,Grenada,26.581914796570402
78,Guadeloupe,26.432498631636445
79,Guatemala,19.026822203977574
80,Guyana,26.17617223134448
81,Haiti,27.816974548440037
82,Honduras,22.417827494982706
83,Jamaica,26.856704980842924
84,Martinique,26.516812625433282
85,Mexico,16.290341634738237
86,Montserrat,25.946097883597776
87,Nicaragua,28.042638204707426
